date,open,high,low,close,volume,open_interest,∂ØÃ¨Ω·À„º€
2025-11-27,377.0,409.85,366.3,370.6,32203,2594,381.6
2025-11-28,373.5,375.7,370.15,371.55,10888,2550,373.25
2025-12-01,380.75,390.4,374.55,382.35,22034,3028,382.8
2025-12-02,375.0,377.65,372.05,374.25,9411,3206,374.4
2025-12-03,381.0,387.35,376.25,381.5,14894,3089,381.95
2025-12-04,382.9,384.4,377.5,379.25,6942,3179,380.9
2025-12-05,377.55,381.95,376.5,381.75,4637,3201,379.65
2025-12-08,380.5,385.5,378.7,383.7,4963,3409,382.25
2025-12-09,383.9,386.45,379.8,380.45,5947,3423,383.5
2025-12-10,388.15,390.0,385.6,387.65,5855,3352,387.9
2025-12-11,382.55,387.2,382.55,385.25,4428,3475,385.3
2025-12-12,389.0,391.9,386.5,389.45,5130,3463,389.2
2025-12-15,390.0,413.65,389.55,407.6,30669,5562,404.7
2025-12-16,410.4,432.05,410.0,423.85,52938,7003,425.4
2025-12-17,432.0,455.15,432.0,455.15,56577,9123,445.45
2025-12-18,463.7,476.6,462.3,476.6,68166,12754,472.3
2025-12-19,484.0,486.95,463.1,480.2,106821,14011,475.2
2025-12-22,498.8,508.45,498.0,508.45,27033,16289,504.7
2025-12-23,512.0,555.15,512.0,532.55,176709,21159,540.65
2025-12-24,577.0,578.45,558.0,578.45,98824,24209,572.9
2025-12-25,516.1,541.0,515.65,529.05,93335,21661,526.6
2025-12-26,560.0,576.6,512.5,515.65,155990,27313,549.0
2025-12-29,502.2,538.0,494.1,494.1,67638,25772,514.3
2025-12-30,450.0,457.1,447.45,447.45,40695,20169,448.8
2025-12-31,436.9,439.05,392.0,425.2,81439,14405,415.9
2026-01-05,467.0,467.0,437.25,452.85,32771,13573,448.75
2026-01-06,461.0,476.5,451.0,471.9,34797,13788,467.95
2026-01-07,498.0,500.0,456.4,475.95,43383,12618,477.75
2026-01-08,475.0,489.0,452.5,460.7,35013,12705,470.75
2026-01-09,468.6,511.8,464.0,499.05,39184,12960,487.6
2026-01-12,516.0,529.6,500.65,505.1,23563,13222,509.85
2026-01-13,494.4,504.9,474.2,483.25,21838,13122,487.7
2026-01-14,499.95,509.95,489.3,495.5,18835,12680,501.8
2026-01-15,480.0,489.3,465.0,478.6,15278,12809,477.55
2026-01-16,480.05,488.0,463.55,469.35,12825,12562,474.9
2026-01-19,490.0,495.0,474.0,477.95,5992,12304,480.55
2026-01-20,480.2,494.3,472.1,490.0,10757,11572,484.8
2026-01-21,505.0,506.45,482.85,485.8,7777,11557,493.1
