date,open,high,low,close,volume,open_interest,∂ØÃ¨Ω·À„º€
2025-11-27,441.0,457.15,426.0,430.3,62345,6744,438.15
2025-11-28,435.0,438.45,430.15,435.55,23948,8048,434.4
2025-12-01,447.7,462.25,444.7,451.6,44391,10624,454.15
2025-12-02,446.2,449.75,440.0,442.5,20751,10493,445.1
2025-12-03,442.0,446.0,438.4,440.55,18148,10664,442.4
2025-12-04,444.0,444.8,438.45,439.65,10934,10387,441.7
2025-12-05,438.45,442.85,437.8,442.3,8194,10524,440.3
2025-12-08,440.05,445.6,438.75,443.2,9834,10877,442.15
2025-12-09,439.6,443.65,432.0,436.4,10108,10806,439.7
2025-12-10,445.4,446.5,442.7,444.45,10263,10091,444.55
2025-12-11,444.6,446.3,440.9,442.4,7324,10349,443.65
2025-12-12,446.0,455.0,444.7,452.05,12412,11170,450.85
2025-12-15,457.0,482.4,455.8,482.4,41832,17844,474.1
2025-12-16,482.0,505.6,479.0,485.75,92961,21372,493.05
2025-12-17,500.0,527.55,500.0,527.55,93342,27001,515.2
2025-12-18,529.0,549.9,529.0,542.6,148823,31548,542.8
2025-12-19,540.0,542.15,516.05,533.55,149426,33474,531.3
2025-12-22,560.0,568.45,555.0,568.45,52413,36318,563.6
2025-12-23,600.0,619.95,593.65,619.95,146122,38913,614.65
2025-12-24,657.65,657.65,653.85,657.65,15803,39147,657.3
2025-12-25,625.0,700.9,596.0,686.95,212434,40666,645.35
2025-12-26,708.3,709.85,693.0,705.3,93934,43198,704.8
2025-12-29,677.0,729.5,634.35,634.35,126019,41795,677.95
2025-12-30,589.85,616.0,589.85,589.85,65864,39384,599.45
2025-12-31,570.0,588.7,512.75,527.25,126223,33266,548.4
2026-01-05,612.0,612.0,566.4,583.95,57471,31924,581.8
2026-01-06,596.25,629.75,588.0,616.8,61267,33188,613.65
2026-01-07,650.0,652.85,585.05,598.5,78981,32262,616.4
2026-01-08,591.0,614.85,568.0,575.0,51507,31499,593.2
2026-01-09,584.0,613.3,576.3,599.8,48581,31994,595.1
2026-01-12,630.0,639.0,615.7,622.8,38798,31930,625.85
2026-01-13,614.15,623.35,590.5,605.05,30480,31250,608.35
2026-01-14,623.85,648.6,616.45,630.65,38565,31534,635.15
2026-01-15,616.0,622.9,588.0,609.05,28226,31282,606.4
2026-01-16,618.15,633.85,601.5,610.05,24678,30594,618.05
2026-01-19,625.3,629.0,610.75,615.1,14583,30983,616.7
2026-01-20,616.0,623.2,598.0,619.35,21609,30557,613.25
2026-01-21,655.0,658.1,623.75,628.5,26077,30413,639.75
